epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
41,3607.51,0.88035,1.413,0.79823,1.08027,0,0.82767,0.67871,0.77169,0.55323,0.70486,0.61384,0.61462,0.20094,1.08948,1.18425,1.07488,1.11213,0,0.001208,0.001208,0.001208
42,3796.21,0.89392,1.44168,0.8118,1.08611,0,0.86899,0.72289,0.78493,0.56023,0.76821,0.62558,0.61888,0.20416,1.08372,1.19924,1.07658,1.10056,0,0.0011882,0.0011882,0.0011882
43,3985.93,0.90319,1.43987,0.82143,1.08942,0,0.80472,0.76129,0.79746,0.57621,0.71807,0.66486,0.63666,0.21368,1.06003,1.19004,1.09377,1.09789,0,0.0011684,0.0011684,0.0011684
44,198.134,0.88659,1.44251,0.79451,1.07924,0,0.80858,0.72947,0.77945,0.55572,0.76167,0.63052,0.62519,0.21033,1.04169,1.14852,1.06855,1.10396,0,0.0011486,0.0011486,0.0011486
45,391.762,0.8749,1.44788,0.78058,1.06792,0,0.78768,0.74699,0.78571,0.55171,0.70078,0.61136,0.61187,0.19924,1.05703,1.18421,1.07826,1.08241,0,0.0011288,0.0011288,0.0011288
46,584.591,0.88719,1.42628,0.80236,1.07458,0,0.78375,0.6988,0.76286,0.55828,0.70053,0.62005,0.63838,0.19931,1.02397,1.18717,1.08024,1.10039,0,0.001109,0.001109,0.001109
47,778.476,0.86785,1.43274,0.77735,1.06776,0,0.82788,0.73403,0.77968,0.55216,0.72092,0.63855,0.61639,0.19038,1.06943,1.19667,1.0872,1.09673,0,0.0010892,0.0010892,0.0010892
48,974.155,0.85811,1.42315,0.7747,1.06026,0,0.85493,0.73369,0.8155,0.59842,0.74154,0.63374,0.63709,0.20405,1.00924,1.19452,1.00633,1.07302,0,0.0010694,0.0010694,0.0010694
49,1168.01,0.84919,1.408,0.75954,1.0613,0,0.81917,0.72775,0.77121,0.56506,0.7348,0.6506,0.64207,0.20906,1.0033,1.1571,1.06338,1.06429,0,0.0010496,0.0010496,0.0010496
50,1361.47,0.84961,1.40472,0.74447,1.05685,0,0.76775,0.78328,0.80386,0.57781,0.71323,0.65462,0.64664,0.20747,1.03169,1.17863,1.0224,1.09767,0,0.0010298,0.0010298,0.0010298
